zfID;zfName;Human_gene_name;ID;Entrez
ENSDARG00000098626;nitr12;TRAV38-1;ENSG00000211816;NA
ENSDARG00000098626;nitr12;TRAV38-2DV8;ENSG00000211817;NA
ENSDARG00000098626;nitr12;TRAC;ENSG00000277734;NA
ENSDARG00000098626;nitr12;TRAV34;ENSG00000211813;NA
ENSDARG00000098626;nitr12;TRAV30;ENSG00000259092;NA
ENSDARG00000098626;nitr12;TRAV17;ENSG00000211797;NA
ENSDARG00000098626;nitr12;TRAV26-2;ENSG00000211812;NA
ENSDARG00000098626;nitr12;TRAV24;ENSG00000211805;NA
ENSDARG00000098626;nitr12;TRAV13-2;ENSG00000211791;NA
ENSDARG00000098626;nitr12;TRAV13-1;ENSG00000211788;NA
ENSDARG00000098626;nitr12;TRAV5;ENSG00000211779;NA
ENSDARG00000098626;nitr12;TRAV20;ENSG00000211800;NA
ENSDARG00000098626;nitr12;TRAV1-2;ENSG00000256553;NA
ENSDARG00000098626;nitr12;TRAV1-1;ENSG00000255569;NA
ENSDARG00000098626;nitr12;TRAV7;ENSG00000211781;NA
ENSDARG00000098626;nitr12;TRAV36DV7;ENSG00000211815;NA
ENSDARG00000089187;wfdc2;NA;NA;NA
ENSDARG00000101165;si:dkey-157e10.8;NA;NA;NA
ENSDARG00000003175;stx5al;STX5;ENSG00000162236;     6811
ENSDARG00000074846;si:dkeyp-68b7.12;NA;NA;NA
ENSDARG00000026759;ldlrb;NA;NA;NA
ENSDARG00000098213;BX465836.1;NA;NA;NA
ENSDARG00000033099;kif7;KIF7;ENSG00000166813;   374654
ENSDARG00000096970;BX119902.2;NA;NA;NA
ENSDARG00000024184;narf;NARF;ENSG00000141562;    26502
ENSDARG00000076901;CR376751.1;NA;NA;NA
ENSDARG00000009341;nrap;NRAP;ENSG00000197893;     4892
ENSDARG00000100546;or108-2;NA;NA;NA
ENSDARG00000090804;gpr155a;GPR155;ENSG00000163328;   151556
ENSDARG00000016977;snx27b;SNX27;ENSG00000143376;    81609
ENSDARG00000058538;alcamb;ALCAM;ENSG00000170017;      214
ENSDARG00000102175;hamp;HAMP;ENSG00000105697;    57817
ENSDARG00000018153;nt5c1ba;NT5C1B;ENSG00000185013;    93034
ENSDARG00000018153;nt5c1ba;NT5C1B-RDH14;ENSG00000250741;100526794
ENSDARG00000054533;araf;ARAF;ENSG00000078061;      369
ENSDARG00000092243;BX005065.1;NA;NA;NA
ENSDARG00000038154;isca2;ISCA2;ENSG00000165898;   122961
ENSDARG00000036420;si:dkey-33c9.6;NA;NA;NA
ENSDARG00000098726;rptor;RPTOR;ENSG00000141564;    57521
ENSDARG00000098677;zgc:174180;NA;NA;NA
ENSDARG00000096511;BX842692.1;NA;NA;NA
ENSDARG00000037652;zgc:56409;C7orf26;ENSG00000146576;    79034
ENSDARG00000027963;camkva;CAMKV;ENSG00000164076;    79012
ENSDARG00000097726;si:ch211-149e23.4;NA;NA;NA
ENSDARG00000105456;FO834831.1;NA;NA;NA
ENSDARG00000095680;AL845324.2;NA;NA;NA
ENSDARG00000011821;plod2;PLOD2;ENSG00000152952;     5352
ENSDARG00000095576;si:ch211-122l14.7;NA;NA;NA
ENSDARG00000035875;tmem54b;TMEM54;ENSG00000121900;   113452
ENSDARG00000057074;rpgrb;RPGR;ENSG00000156313;     6103
ENSDARG00000075181;crfb16;AP000295.1;ENSG00000249624;NA
ENSDARG00000075181;crfb16;IFNAR2;ENSG00000159110;     3455
ENSDARG00000075181;crfb16;IL22RA1;ENSG00000142677;    58985
ENSDARG00000075181;crfb16;IL10RA;ENSG00000110324;     3587
ENSDARG00000075181;crfb16;IFNGR1;ENSG00000027697;     3459
ENSDARG00000077950;tor1;TOR1B;ENSG00000136816;    27348
ENSDARG00000077950;tor1;TOR1A;ENSG00000136827;     1861
ENSDARG00000079355;flrt2;FLRT2;ENSG00000185070;    23768
ENSDARG00000044251;rasgef1bb;RASGEF1B;ENSG00000138670;   153020
ENSDARG00000096398;si:ch211-276a17.5;NA;NA;NA
ENSDARG00000003144;pxmp2;PXMP2;ENSG00000176894;     5827
ENSDARG00000016968;tmem214;TMEM214;ENSG00000119777;    54867
ENSDARG00000090063;fa2h;FA2H;ENSG00000103089;    79152
ENSDARG00000033789;ndufb7;NDUFB7;ENSG00000099795;     4713
ENSDARG00000017522;ctdp1;CTDP1;ENSG00000060069;     9150
ENSDARG00000077860;ankhd1;ANKHD1-EIF4EBP3;ENSG00000254996;   404734
ENSDARG00000077860;ankhd1;ANKHD1;ENSG00000131503;    54882
ENSDARG00000097025;CR354383.1;NA;NA;NA
ENSDARG00000052097;trim35-31;NA;NA;NA
ENSDARG00000098675;traj55;NA;NA;NA
ENSDARG00000045015;cyp27b1;CYP27B1;ENSG00000111012;     1594
ENSDARG00000101490;si:ch73-281i18.6;NA;NA;NA
ENSDARG00000008100;slc7a10a;SLC7A10;ENSG00000130876;    56301
ENSDARG00000041340;mrpl51;MRPL51;ENSG00000111639;    51258
ENSDARG00000087757;pimr190;NA;NA;NA
ENSDARG00000110990;BX908796.2;NA;NA;NA
ENSDARG00000092491;si:dkey-149i17.8;NA;NA;NA
ENSDARG00000045873;frs2a;FRS2;ENSG00000166225;    10818
ENSDARG00000088072;usp43b;USP43;ENSG00000154914;   124739
ENSDARG00000096208;si:dkeyp-100h4.8;NA;NA;NA
ENSDARG00000070874;asmt2;NA;NA;NA
ENSDARG00000105588;CU464087.1;NA;NA;NA
ENSDARG00000075339;ipp;NA;NA;NA
ENSDARG00000045641;usp3;AC007950.1;ENSG00000140455;     9960
ENSDARG00000103025;hmgcs1;HMGCS1;ENSG00000112972;     3157
ENSDARG00000061439;ugt5c3;UGT1A9;ENSG00000241119;    54600
ENSDARG00000061439;ugt5c3;UGT1A7;ENSG00000244122;    54577
ENSDARG00000061439;ugt5c3;UGT1A8;ENSG00000242366;    54576
ENSDARG00000061439;ugt5c3;UGT1A10;ENSG00000242515;    54575
ENSDARG00000061439;ugt5c3;UGT1A6;ENSG00000167165;    54578
ENSDARG00000061439;ugt5c3;UGT2B28;ENSG00000135226;    54490
ENSDARG00000061439;ugt5c3;UGT2B10;ENSG00000109181;     7365
ENSDARG00000061439;ugt5c3;UGT2B11;ENSG00000213759;    10720
ENSDARG00000061439;ugt5c3;UGT3A1;ENSG00000145626;   133688
ENSDARG00000061439;ugt5c3;UGT1A3;ENSG00000243135;    54659
ENSDARG00000061439;ugt5c3;UGT1A5;ENSG00000240224;    54579
ENSDARG00000061439;ugt5c3;UGT1A4;ENSG00000244474;    54657
ENSDARG00000061439;ugt5c3;UGT2B4;ENSG00000156096;     7363
ENSDARG00000061439;ugt5c3;UGT2B7;ENSG00000171234;     7364
ENSDARG00000061439;ugt5c3;UGT2A2;ENSG00000271271;   574537
ENSDARG00000061439;ugt5c3;UGT2A1;ENSG00000173610;    10941
ENSDARG00000061439;ugt5c3;UGT2B15;ENSG00000196620;     7366
ENSDARG00000061439;ugt5c3;UGT2B17;ENSG00000197888;     7367
ENSDARG00000061439;ugt5c3;UGT2A3;ENSG00000135220;    79799
ENSDARG00000102553;traj6;NA;NA;NA
ENSDARG00000104269;si:ch211-271d10.2;NA;NA;NA
ENSDARG00000052520;sgms2a;SGMS2;ENSG00000164023;   166929
ENSDARG00000018542;hapln4;HAPLN4;ENSG00000187664;   404037
ENSDARG00000074253;olig3;OLIG3;ENSG00000177468;   167826
ENSDARG00000078768;abhd15a;NA;NA;NA
ENSDARG00000100858;zgc:171695;SEPT14;ENSG00000154997;   346288
ENSDARG00000100858;zgc:171695;SEPT1;ENSG00000180096;     1731
ENSDARG00000062357;fam19a1a;FAM19A1;ENSG00000183662;   407738
ENSDARG00000019135;ankef1a;ANKEF1;ENSG00000132623;    63926
ENSDARG00000068711;crfb4;IL10RB;ENSG00000243646;     3588
ENSDARG00000043002;vmo1a;VMO1;ENSG00000182853;   284013
ENSDARG00000090854;lsm11;LSM11;ENSG00000155858;   134353
ENSDARG00000056683;cdk5;CDK5;ENSG00000164885;     1020
ENSDARG00000098676;CU467043.1;NA;NA;NA
ENSDARG00000012446;zgc:113057;HELZ2;ENSG00000130589;    85441
ENSDARG00000078567;lonrf1l;LONRF1;ENSG00000154359;    91694
ENSDARG00000021444;prf1.2;PRF1;ENSG00000180644;     5551
ENSDARG00000029263;hoxb3a;HOXB3;ENSG00000120093;     3213
ENSDARG00000030472;slc16a5a;SLC16A5;ENSG00000170190;     9121
ENSDARG00000042515;gpr176;GPR176;ENSG00000166073;    11245
ENSDARG00000042018;fhl2a;FHL2;ENSG00000115641;     2274
ENSDARG00000036943;golph3l;GOLPH3L;ENSG00000143457;    55204
ENSDARG00000015476;iqch;IQCH;ENSG00000103599;    64799
ENSDARG00000089954;si:ch211-189e2.3;TDRD6;ENSG00000180113;   221400
ENSDARG00000002355;shpk;SHPK;ENSG00000197417;    23729
ENSDARG00000002355;shpk;AC027796.3;ENSG00000262304;NA
ENSDARG00000069537;si:dkey-238c7.16;NA;NA;NA
ENSDARG00000044457;gfi1ab;GFI1;ENSG00000162676;     2672
ENSDARG00000087798;pdyn;PDYN;ENSG00000101327;     5173
ENSDARG00000101106;si:ch73-109d9.3;NA;NA;NA
ENSDARG00000093521;b3gnt3.3;B3GNT3;ENSG00000179913;    10331
ENSDARG00000045443;agtr1b;AGTR1;ENSG00000144891;      185
ENSDARG00000058958;trim35-7;NA;NA;NA
ENSDARG00000019293;tfdp1a;TFDP1;ENSG00000198176;     7027
ENSDARG00000094455;CR293531.1;NA;NA;NA
ENSDARG00000097849;BX927395.1;NA;NA;NA
ENSDARG00000078167;si:dkeyp-100h4.1;NA;NA;NA
ENSDARG00000115890;si:dkey-1b17.9;NA;NA;NA
ENSDARG00000101085;ss18l2;SS18L2;ENSG00000008324;    51188
ENSDARG00000007250;use1;USE1;ENSG00000053501;    55850
ENSDARG00000113690;si:ch211-223g7.6;NA;NA;NA
ENSDARG00000011449;fes;FES;ENSG00000182511;     2242
ENSDARG00000099200;zgc:123103;CTSV;ENSG00000136943;     1515
ENSDARG00000099200;zgc:123103;CTSL;ENSG00000135047;     1514
ENSDARG00000099200;zgc:123103;CTSF;ENSG00000174080;     8722
ENSDARG00000040250;si:ch211-132g1.1;NA;NA;NA
ENSDARG00000044753;idh3b;IDH3B;ENSG00000101365;     3420
ENSDARG00000006560;irf4a;IRF4;ENSG00000137265;     3662
ENSDARG00000099086;BX511142.1;NA;NA;NA
ENSDARG00000074302;gpr183b;GPR183;ENSG00000169508;     1880
ENSDARG00000061371;cdh18a;CDH18;ENSG00000145526;     1016
ENSDARG00000063574;mtg2;MTG2;ENSG00000101181;    26164
ENSDARG00000086471;pkig;PKIG;ENSG00000168734;    11142
ENSDARG00000002377;mief2;MIEF2;ENSG00000177427;   125170
ENSDARG00000052129;boka;BOK;ENSG00000176720;      666
ENSDARG00000098029;si:ch211-129o18.4;C1orf127;ENSG00000175262;   148345
ENSDARG00000097268;CU929145.2;NA;NA;NA
ENSDARG00000059773;SRCIN1;SRCIN1;ENSG00000277363;    80725
ENSDARG00000095453;si:rp71-17i16.6;NA;NA;NA
ENSDARG00000097673;FP016235.1;NA;NA;NA
ENSDARG00000056740;tmeff1b;NA;NA;NA
ENSDARG00000033446;tap2t;NA;NA;NA
ENSDARG00000099899;si:dkeyp-51g9.4;NA;NA;NA
ENSDARG00000077253;alkbh6;ALKBH6;ENSG00000239382;    84964
ENSDARG00000096836;AL807792.1;NA;NA;NA
ENSDARG00000105063;si:ch211-64i20.3;NA;NA;NA
ENSDARG00000100694;tnnt2b;TNNT2;ENSG00000118194;     7139
ENSDARG00000093799;setbp1;SETBP1;ENSG00000152217;    26040
ENSDARG00000092995;BX294113.1;NA;NA;NA
ENSDARG00000052851;golph3;NA;NA;NA
ENSDARG00000009844;dusp23a;DUSP23;ENSG00000158716;    54935
ENSDARG00000018871;henmt1;HENMT1;ENSG00000162639;   113802
ENSDARG00000102608;zgc:109986;NA;NA;NA
ENSDARG00000003818;prkag1;PRKAG1;ENSG00000181929;     5571
ENSDARG00000019156;haus5;NA;NA;NA
ENSDARG00000038615;pip4p1a;PIP4P1;ENSG00000165782;    90809
ENSDARG00000092774;tarsl2;NA;NA;NA
ENSDARG00000092082;BX649639.1;NA;NA;NA
ENSDARG00000087457;ecscr;NA;NA;NA
ENSDARG00000034734;med6;MED6;ENSG00000133997;    10001
ENSDARG00000079283;si:ch211-247j9.1;NA;NA;NA
ENSDARG00000021913;ak9;AK9;ENSG00000155085;   221264
ENSDARG00000105120;gab2;GAB2;ENSG00000033327;     9846
ENSDARG00000098157;CR792416.1;NA;NA;NA
ENSDARG00000102929;zgc:101715;C19orf12;ENSG00000131943;    83636
ENSDARG00000073688;nav2a;NAV2;ENSG00000166833;    89797
ENSDARG00000103180;CU467880.1;NA;NA;NA
ENSDARG00000090814;si:dkey-18a10.3;NA;NA;NA
ENSDARG00000027141;ube2l3b;UBE2L5;ENSG00000236444;   171222
ENSDARG00000027141;ube2l3b;UBE2L3;ENSG00000185651;     7332
ENSDARG00000102434;si:dkey-13m1.2;NA;NA;NA
ENSDARG00000099967;CU929143.1;NA;NA;NA
ENSDARG00000095872;CR352226.3;NA;NA;NA
ENSDARG00000052142;acvr1bb;ACVR1B;ENSG00000135503;       91
ENSDARG00000093111;si:ch211-209l18.2;NA;NA;NA
ENSDARG00000069758;si:dkey-189g17.2;NA;NA;NA
ENSDARG00000039218;gpr101;GPR101;ENSG00000165370;    83550
ENSDARG00000010717;chchd10;CHCHD10;ENSG00000250479;   400916
ENSDARG00000020449;yipf3;YIPF3;ENSG00000137207;    25844
ENSDARG00000038792;klf17;KLF14;ENSG00000266265;   136259
ENSDARG00000038792;klf17;KLF17;ENSG00000171872;   128209
ENSDARG00000038792;klf17;KLF18;ENSG00000283039;105378952
ENSDARG00000095204;AL935117.1;NA;NA;NA
ENSDARG00000017163;sinup;NA;NA;NA
ENSDARG00000044015;gfra2b;GFRA2;ENSG00000168546;     2675
ENSDARG00000101456;acp5b;NA;NA;NA
ENSDARG00000076801;arap3;ARAP3;ENSG00000120318;    64411
ENSDARG00000003206;chchd6a;CHCHD6;ENSG00000159685;    84303
ENSDARG00000105543;BX323797.2;NA;NA;NA
ENSDARG00000078686;arl8a;ARL8A;ENSG00000143862;   127829
ENSDARG00000017835;brf1a;NA;NA;NA
ENSDARG00000044318;itgb7;ITGB7;ENSG00000139626;     3695
ENSDARG00000076025;dgkzb;DGKZ;ENSG00000149091;     8525
ENSDARG00000009253;rtraf;RTRAF;ENSG00000087302;    51637
ENSDARG00000062549;acmsd;ACMSD;ENSG00000153086;   130013
ENSDARG00000037262;cdkn2a/b;NA;NA;NA
ENSDARG00000075855;adgre10;NA;NA;NA
ENSDARG00000037555;atoh8;ATOH8;ENSG00000168874;    84913
ENSDARG00000038976;pdcd7;PDCD7;ENSG00000090470;    10081
ENSDARG00000039349;qrfpra;QRFPR;ENSG00000186867;    84109
ENSDARG00000036588;mhc1zba;CD1C;ENSG00000158481;      911
ENSDARG00000036588;mhc1zba;CD1A;ENSG00000158477;      909
ENSDARG00000036588;mhc1zba;CD1D;ENSG00000158473;      912
ENSDARG00000036588;mhc1zba;CD1E;ENSG00000158488;      913
ENSDARG00000036588;mhc1zba;FCGRT;ENSG00000104870;     2217
ENSDARG00000036588;mhc1zba;CD1B;ENSG00000158485;      910
ENSDARG00000098257;pcdh15a;PCDH15;ENSG00000150275;    65217
ENSDARG00000059351;hnrnpa3;NA;NA;NA
ENSDARG00000105553;CU041319.2;NA;NA;NA
ENSDARG00000078717;itga8;ITGA8;ENSG00000077943;     8516
ENSDARG00000024219;cdk5rap2;CDK5RAP2;ENSG00000136861;    55755
ENSDARG00000102612;slc15a4;SLC15A4;ENSG00000139370;   121260
ENSDARG00000075818;dok2;NA;NA;NA
ENSDARG00000063006;cacng7a;CACNG7;ENSG00000105605;    59284
ENSDARG00000097115;si:dkey-27l15.1;NA;NA;NA
ENSDARG00000055560;p2ry8;P2RY8;ENSG00000182162;   286530
ENSDARG00000099099;CABZ01015815.1;NA;NA;NA
ENSDARG00000024771;slc24a5;SLC24A5;ENSG00000188467;   283652
ENSDARG00000052846;fsta;FST;ENSG00000134363;    10468
ENSDARG00000092855;SRBD1;SRBD1;ENSG00000068784;    55133
ENSDARG00000014024;ms4a17a.4;MS4A3;ENSG00000149516;      932
ENSDARG00000014024;ms4a17a.4;MS4A7;ENSG00000166927;    58475
ENSDARG00000014024;ms4a17a.4;MS4A13;ENSG00000204979;   503497
ENSDARG00000014024;ms4a17a.4;MS4A5;ENSG00000166930;    64232
ENSDARG00000014024;ms4a17a.4;MS4A2;ENSG00000149534;     2206
ENSDARG00000014024;ms4a17a.4;MS4A18;ENSG00000214782;   728588
ENSDARG00000014024;ms4a17a.4;MS4A15;ENSG00000166961;   219995
ENSDARG00000014024;ms4a17a.4;MS4A1;ENSG00000156738;      931
ENSDARG00000014024;ms4a17a.4;MS4A14;ENSG00000166928;    84689
ENSDARG00000014024;ms4a17a.4;MS4A10;ENSG00000172689;   341116
ENSDARG00000014024;ms4a17a.4;MS4A6E;ENSG00000166926;   245802
ENSDARG00000014024;ms4a17a.4;MS4A6A;ENSG00000110077;    64231
ENSDARG00000100531;abhd14b;ABHD14B;ENSG00000114779;    84836
ENSDARG00000101319;si:ch73-299h12.6;NA;NA;NA
ENSDARG00000055445;slc22a15;SLC22A9;ENSG00000149742;   114571
ENSDARG00000055445;slc22a15;SLC22A10;ENSG00000184999;   387775
ENSDARG00000055445;slc22a15;SLC22A25;ENSG00000196600;   387601
ENSDARG00000055445;slc22a15;SLC22A24;ENSG00000197658;   283238
ENSDARG00000055445;slc22a15;SLC22A11;ENSG00000168065;    55867
ENSDARG00000089750;si:dkey-26g8.5;NA;NA;NA
ENSDARG00000078529;adgrb1b;ADGRB1;ENSG00000181790;      575
ENSDARG00000094550;BX649490.2;NA;NA;NA
ENSDARG00000091169;tor4ab;TOR4A;ENSG00000198113;    54863
ENSDARG00000052010;ciao2b;CIAO2B;ENSG00000166595;    51647
ENSDARG00000098075;sh3bgrl3;SH3BGRL3;ENSG00000142669;    83442
ENSDARG00000093164;si:rp71-23d18.8;NA;NA;NA
ENSDARG00000093780;BX548078.1;NA;NA;NA
ENSDARG00000069595;si:ch211-214c7.4;PRR36;ENSG00000183248;    80164
ENSDARG00000093621;si:dkey-27b3.4;NA;NA;NA
ENSDARG00000045070;itgb3b;AC068234.1;ENSG00000259753;NA
ENSDARG00000045070;itgb3b;ITGB3;ENSG00000259207;     3690
ENSDARG00000055901;steap4;STEAP4;ENSG00000127954;    79689
ENSDARG00000093608;ccl34b.1;NA;NA;NA
ENSDARG00000023111;plg;PLGLB1;ENSG00000183281;     5343
ENSDARG00000023111;plg;PLGLB2;ENSG00000125551;     5342
ENSDARG00000023111;plg;PLG;ENSG00000122194;     5340
ENSDARG00000020197;rpl5a;RPL5;ENSG00000122406;     6125
ENSDARG00000040930;deptor;DEPTOR;ENSG00000155792;    64798
ENSDARG00000099685;gnb5a;GNB5;ENSG00000069966;    10681
ENSDARG00000051729;nfatc3b;NA;NA;NA
ENSDARG00000098514;si:ch211-59d8.3;NA;NA;NA
ENSDARG00000077778;adamts9;ADAMTS9;ENSG00000163638;    56999
ENSDARG00000057227;si:dkey-222b8.4;KIAA0895;ENSG00000164542;    23366
ENSDARG00000092014;BX294129.1;NA;NA;NA
ENSDARG00000043431;b3gntl1;B3GNTL1;ENSG00000175711;   146712
ENSDARG00000029905;phyhd1;PHYHD1;ENSG00000175287;   254295
ENSDARG00000077082;agtrap;AGTRAP;ENSG00000177674;    57085
ENSDARG00000077581;zzz3;AC118549.1;ENSG00000036549;    26009
ENSDARG00000018593;parp16;PARP16;ENSG00000138617;    54956
ENSDARG00000079455;nlgn4xa;NLGN4Y;ENSG00000165246;    22829
ENSDARG00000079455;nlgn4xa;NLGN4X;ENSG00000146938;    57502
ENSDARG00000071648;zgc:113298;NA;NA;NA
ENSDARG00000095337;CR318646.3;NA;NA;NA
ENSDARG00000097225;si:dkey-79d12.6;NA;NA;NA
ENSDARG00000097063;sparcl2;NA;NA;NA
ENSDARG00000094616;zgc:113984;NA;NA;NA
ENSDARG00000002509;zgc:153911;NA;NA;NA
ENSDARG00000027826;pudp;PUDP;ENSG00000130021;     8226
ENSDARG00000010408;igsf9b;NA;NA;NA
ENSDARG00000054031;mxd4;MXD4;ENSG00000123933;    10608
ENSDARG00000062987;tyw1;TYW1;ENSG00000198874;    55253
ENSDARG00000062987;tyw1;TYW1B;ENSG00000277149;   441250
ENSDARG00000004296;ambp;AMBP;ENSG00000106927;      259
ENSDARG00000039880;arpp19b;ARPP19;ENSG00000128989;    10776
ENSDARG00000035860;rps28;RPS28;ENSG00000233927;     6234
ENSDARG00000041078;chka;CHKA;ENSG00000110721;     1119
ENSDARG00000023298;rps27.1;NA;NA;NA
ENSDARG00000104332;cdh28;CDH3;ENSG00000062038;     1001
ENSDARG00000075112;tacr3a;TACR3;ENSG00000169836;     6870
ENSDARG00000002219;si:dkey-103j14.5;NA;NA;NA
ENSDARG00000098889;si:zfos-128g4.2;NA;NA;NA
ENSDARG00000079391;mrpl42;NA;NA;NA
ENSDARG00000074306;ctslb;NA;NA;NA
ENSDARG00000093010;BX511259.1;NA;NA;NA
ENSDARG00000096588;adgre15;NA;NA;NA
ENSDARG00000105603;BX957276.1;NA;NA;NA
ENSDARG00000093645;BX294113.2;NA;NA;NA
ENSDARG00000040021;ebag9;EBAG9;ENSG00000147654;     9166
ENSDARG00000036893;f13a1b;F13A1;ENSG00000124491;     2162
ENSDARG00000013266;colec11;COLEC11;ENSG00000118004;    78989
ENSDARG00000042937;si:dkey-256e7.5;SPATA21;ENSG00000187144;   374955
ENSDARG00000111173;si:dkeyp-67e1.2;NA;NA;NA
ENSDARG00000094473;si:dkey-163f12.6;NA;NA;NA
ENSDARG00000071377;hsd11b1la;HSD11B1L;ENSG00000167733;   374875
ENSDARG00000025671;grm6b;GRM6;ENSG00000113262;     2916
ENSDARG00000092630;CR954294.1;NA;NA;NA
ENSDARG00000035018;thy1;THY1;ENSG00000154096;     7070
ENSDARG00000039173;ctslb;NA;NA;NA
ENSDARG00000037196;arid5b;ARID5B;ENSG00000150347;    84159
ENSDARG00000032264;mybl2b;MYBL2;ENSG00000101057;     4605
ENSDARG00000025325;ccsapa;CCSAP;ENSG00000154429;   126731
ENSDARG00000097542;CU633855.1;NA;NA;NA
ENSDARG00000054184;btr06;NA;NA;NA
ENSDARG00000056331;ahcyl1;AHCYL1;ENSG00000168710;    10768
ENSDARG00000102080;mif4gda;MIF4GD;ENSG00000125457;    57409
ENSDARG00000069888;cldna;CLDN4;ENSG00000189143;     1364
ENSDARG00000038363;drd4a;DRD4;ENSG00000069696;     1815
ENSDARG00000010472;atp1a2a;ATP1A2;ENSG00000018625;      477
ENSDARG00000040643;ccr10;CCR10;ENSG00000184451;     2826
ENSDARG00000075673;arhgap21b;ARHGAP21;ENSG00000107863;    57584
ENSDARG00000017422;apmap;APMAP;ENSG00000101474;    57136
ENSDARG00000095804;CT027631.1;NA;NA;NA
ENSDARG00000077318;CR376737.1;NA;NA;NA
ENSDARG00000097032;si:ch211-256a21.4;NA;NA;NA
ENSDARG00000092535;si:dkey-242h9.5;NA;NA;NA
ENSDARG00000096638;BX510992.2;NA;NA;NA
ENSDARG00000063390;pvrl2l;TIGIT;ENSG00000181847;   201633
ENSDARG00000063390;pvrl2l;SMAGP;ENSG00000170545;    57228
ENSDARG00000063390;pvrl2l;NCR3;ENSG00000204475;   259197
ENSDARG00000063390;pvrl2l;PVR;ENSG00000073008;     5817
ENSDARG00000063390;pvrl2l;NECTIN2;ENSG00000130202;     5819
ENSDARG00000026403;hephl1b;HEPH;ENSG00000089472;     9843
ENSDARG00000062108;iffo1b;IFFO1;ENSG00000010295;    25900
ENSDARG00000076830;si:dkey-65b12.6;FCGBP;ENSG00000275395;     8857
ENSDARG00000042726;grb7;GRB7;ENSG00000141738;     2886
ENSDARG00000075030;stx10;NA;NA;NA
ENSDARG00000103155;ext1a;EXT1;ENSG00000182197;     2131
ENSDARG00000019235;sema3aa;SEMA4A;ENSG00000196189;    64218
ENSDARG00000075952;mbd2;NA;NA;NA
ENSDARG00000055472;nubp1;NUBP1;ENSG00000103274;     4682
